date,open,high,low,close,adj close,volume,stocastic_kdjd_5,stocastic_kdjk_3,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,macd_macd,macd_macds,macd_macdh,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2016-07-08,1036.63,1037.43,1014.7,1021.77,991.044,1915600,76.717,48.589,48.589,58.92,30.067,23.941,23.348,1.187,1000.658,1050.707,950.609,23.592,Larsen & Toubro
2016-07-11,1038.67,1047.47,1036.37,1039.87,1008.599,1815518,73.321,53.404,53.404,62.545,29.392,24.223,23.523,1.401,1003.061,1055.86,950.262,23.742,Larsen & Toubro
2016-07-12,1045.2,1047.83,1031.3,1045.33,1013.895,2383048,72.18,66.421,66.421,63.588,28.359,24.604,23.739,1.729,1006.456,1061.019,951.894,23.227,Larsen & Toubro
2016-07-13,1045.4,1046.53,1028.73,1034.27,1003.168,2036055,69.099,53.949,53.949,59.944,26.997,23.739,23.739,0.0,1009.485,1063.108,955.862,22.839,Larsen & Toubro
2016-07-14,1039.3,1047.3,1028.67,1042.97,1011.606,1909636,69.533,60.844,60.844,61.799,25.517,23.486,23.689,-0.406,1011.173,1066.846,955.501,22.539,Larsen & Toubro
2016-07-15,1044.07,1063.33,1038.1,1057.23,1025.437,2428458,71.155,68.03,68.03,64.685,24.749,24.157,23.782,0.749,1014.228,1073.042,955.414,22.731,Larsen & Toubro
2016-07-18,1058.67,1069.1,1043.33,1049.6,1018.037,1855422,69.722,62.609,62.609,61.986,24.668,23.798,23.785,0.026,1017.366,1076.722,958.011,22.948,Larsen & Toubro
2016-07-19,1048.0,1055.67,1041.07,1048.53,1016.999,1926168,66.796,52.955,52.955,61.598,24.839,23.161,23.661,-0.999,1019.558,1080.167,958.949,22.352,Larsen & Toubro
2016-07-20,1048.67,1057.33,1045.7,1047.23,1015.738,1790912,63.175,42.629,42.629,61.098,25.237,22.294,23.387,-2.186,1022.093,1082.888,961.298,21.586,Larsen & Toubro
2016-07-21,1050.0,1050.0,1034.67,1038.37,1007.144,1678212,55.74,33.862,33.862,57.66,24.856,20.654,22.841,-4.373,1024.293,1084.039,964.547,21.139,Larsen & Toubro
2016-07-22,1040.07,1051.93,1035.03,1049.33,1017.775,1877206,50.973,44.14,44.14,60.612,24.126,20.008,22.274,-4.532,1026.806,1086.313,967.3,20.836,Larsen & Toubro
2016-07-25,1048.0,1059.2,1042.0,1057.27,1025.476,2209774,53.428,60.137,60.137,62.645,23.643,19.907,21.801,-3.787,1031.983,1081.977,981.989,20.576,Larsen & Toubro
2016-07-26,1059.0,1065.33,1054.07,1061.8,1029.87,1729184,58.414,69.542,69.542,63.793,23.657,19.963,21.433,-2.941,1036.181,1080.847,991.515,19.911,Larsen & Toubro
2016-07-27,1064.2,1076.67,1057.77,1068.1,1035.98,2467012,62.984,71.455,71.455,65.386,24.471,20.281,21.203,-1.843,1040.451,1079.574,1001.328,19.839,Larsen & Toubro
2016-07-28,1069.33,1071.07,1040.93,1051.5,1019.88,2811580,62.411,57.495,57.495,58.128,24.409,18.976,20.757,-3.563,1043.586,1074.461,1012.711,20.575,Larsen & Toubro
2016-07-29,1060.0,1062.3,1033.33,1039.23,1007.979,4228011,56.735,42.868,42.868,53.409,23.653,16.758,19.957,-6.4,1045.664,1067.917,1023.412,21.174,Larsen & Toubro
2016-08-01,1039.37,1057.33,993.333,995.8,965.855,9155450,48.237,29.636,29.636,40.787,23.918,11.365,18.239,-13.749,1044.033,1074.772,1013.294,24.233,Larsen & Toubro
2016-08-02,997.333,1009.2,993.5,1002.23,972.091,2410914,40.287,24.058,24.058,42.937,24.812,7.522,16.096,-17.146,1041.874,1077.83,1005.919,23.624,Larsen & Toubro
2016-08-03,1005.33,1011.43,980.333,985.733,956.09,2619658,32.938,18.376,18.376,39.022,26.375,3.111,13.499,-20.776,1038.625,1082.16,995.089,24.157,Larsen & Toubro
2016-08-04,997.333,997.333,973.6,979.433,949.98,2254336,26.743,17.39,17.39,37.612,28.44,-0.884,10.622,-23.012,1035.78,1086.748,984.811,24.127,Larsen & Toubro
2016-08-05,986.9,1011.17,985.333,1008.13,977.814,2805628,25.601,42.019,42.019,47.008,29.819,-1.714,8.155,-19.738,1035.098,1087.208,982.988,24.671,Larsen & Toubro
2016-08-08,1013.33,1016.43,998.067,1004.77,974.555,1403924,30.334,52.272,52.272,46.132,30.402,-2.613,6.001,-17.229,1033.343,1087.114,979.572,24.22,Larsen & Toubro
