date,open,high,low,close,adj close,volume,20_sma,50_sma,200_sma,macd_12_26,macdsign_12_26,macddiff_12_26,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name
2016-07-21,99.83,101.0,99.13,99.43,97.18,32702000,96.605,96.639,103.96,0.832,0.335,0.496,78.878,56.852,60.85,32.897,96.605,101.232,91.977,1.36,AAPL
2016-07-22,99.26,99.3,98.31,98.66,96.427,28313700,96.733,96.762,103.897,0.799,0.428,0.371,69.504,42.238,56.121,33.242,96.733,101.442,92.023,1.342,AAPL
2016-07-25,98.25,98.84,96.92,97.34,95.137,40382900,96.93,96.902,103.83,0.659,0.474,0.185,58.759,31.59,49.08,32.886,96.93,101.375,92.484,1.384,AAPL
2016-07-26,96.82,97.97,96.42,96.67,94.483,56239800,97.161,97.025,103.765,0.489,0.477,0.011,48.062,23.954,45.929,32.394,97.161,100.971,93.351,1.396,AAPL
2016-07-27,104.27,104.35,102.75,102.95,100.62,92344800,97.629,97.206,103.72,0.85,0.552,0.299,47.116,43.418,67.188,32.668,97.629,101.867,93.391,1.844,AAPL
2016-07-28,102.83,104.45,102.82,104.34,101.979,39869800,98.126,97.423,103.683,1.235,0.689,0.547,52.42,61.822,69.999,33.431,98.126,103.046,93.206,1.829,AAPL
2016-07-29,104.19,104.55,103.68,104.21,101.852,27733700,98.556,97.616,103.645,1.512,0.853,0.659,59.599,68.252,69.4,34.494,98.556,104.023,93.09,1.761,AAPL
2016-08-01,104.41,106.15,104.41,106.05,103.65,38167900,99.065,97.853,103.625,1.858,1.054,0.804,67.165,77.833,72.931,36.032,99.065,105.319,92.81,1.773,AAPL
2016-08-02,106.05,106.07,104.0,104.48,102.116,33816600,99.539,98.038,103.588,1.983,1.24,0.743,68.718,62.685,65.94,37.523,99.539,105.93,93.148,1.795,AAPL
2016-08-03,104.81,105.84,104.77,105.79,103.396,30202600,100.052,98.226,103.561,2.163,1.425,0.739,71.683,69.542,68.641,38.931,100.052,106.729,93.375,1.764,AAPL
2016-08-04,105.58,106.0,105.28,105.87,104.035,27408700,100.549,98.385,103.532,2.286,1.597,0.689,74.887,76.474,68.804,40.282,100.549,107.412,93.685,1.689,AAPL
2016-08-05,106.27,107.65,106.18,107.48,105.617,40553400,101.089,98.542,103.501,2.484,1.774,0.71,78.584,82.349,71.957,41.951,101.089,108.358,93.819,1.696,AAPL
2016-08-08,107.52,108.37,107.16,108.37,106.492,28037200,101.658,98.701,103.474,2.683,1.956,0.727,82.607,88.232,73.549,43.898,101.658,109.345,93.971,1.661,AAPL
2016-08-09,108.23,108.94,108.01,108.81,106.924,26315200,102.228,98.871,103.44,2.842,2.133,0.709,85.981,90.585,74.325,46.053,102.228,110.272,94.183,1.609,AAPL
2016-08-10,108.71,108.9,107.76,108.0,106.128,24008500,102.784,99.033,103.385,2.871,2.281,0.59,86.185,76.12,70.24,48.0,102.784,110.808,94.76,1.575,AAPL
2016-08-11,108.52,108.93,107.85,107.93,106.059,27484500,103.241,99.223,103.348,2.854,2.396,0.459,83.744,55.549,69.883,49.756,103.241,111.348,95.134,1.54,AAPL
2016-08-12,107.78,108.44,107.78,108.18,106.305,18660400,103.711,99.432,103.316,2.829,2.482,0.347,79.722,48.998,70.461,51.24,103.711,111.819,95.603,1.477,AAPL
2016-08-15,108.14,109.54,108.08,109.48,107.582,25868200,104.194,99.663,103.267,2.881,2.562,0.319,79.812,64.863,73.328,52.81,104.194,112.475,95.912,1.476,AAPL
2016-08-16,109.63,110.23,109.21,109.38,107.484,33794400,104.669,99.878,103.212,2.88,2.626,0.255,78.272,65.01,72.743,54.529,104.669,112.998,96.34,1.443,AAPL
2016-08-17,109.1,109.37,108.34,109.22,107.327,25356000,105.132,100.082,103.16,2.835,2.667,0.167,75.421,61.015,71.757,55.247,105.132,113.388,96.876,1.414,AAPL
2016-08-18,109.23,109.6,109.02,109.08,107.189,21984700,105.615,100.285,103.1,2.755,2.685,0.07,71.67,53.728,70.852,55.41,105.615,113.59,97.639,1.355,AAPL
2016-08-19,108.77,109.69,108.36,109.36,107.464,25368100,106.15,100.479,103.034,2.684,2.685,-0.001,68.654,61.004,71.623,54.493,106.15,113.578,98.721,1.353,AAPL
2016-08-22,108.86,109.1,107.85,108.51,106.629,25820200,106.708,100.673,102.966,2.53,2.654,-0.124,62.767,52.626,65.922,52.438,106.708,112.929,100.487,1.364,AAPL
2016-08-23,108.59,109.32,108.53,108.85,106.963,21257700,107.317,100.903,102.906,2.407,2.604,-0.197,59.215,53.2,67.052,49.906,107.317,111.427,103.207,1.325,AAPL
2016-08-24,108.57,108.75,107.68,108.03,106.157,23675100,107.571,101.114,102.841,2.218,2.527,-0.309,52.991,42.58,61.736,46.702,107.571,111.136,104.006,1.314,AAPL
2016-08-25,107.39,107.88,106.68,107.57,105.705,25086200,107.733,101.323,102.776,2.008,2.423,-0.415,47.623,39.624,58.915,43.886,107.733,110.958,104.507,1.316,AAPL
2016-08-26,107.41,107.95,106.31,106.94,105.086,27766300,107.869,101.511,102.727,1.771,2.293,-0.522,42.271,35.023,55.194,41.628,107.869,110.67,105.068,1.339,AAPL
2016-08-29,106.62,107.44,106.29,106.82,104.968,24970300,107.908,101.74,102.68,1.555,2.145,-0.59,37.139,33.991,54.488,39.813,107.908,110.623,105.192,1.326,AAPL
2016-08-30,105.8,106.5,105.5,106.0,104.163,24863900,107.984,101.958,102.632,1.303,1.977,-0.674,32.441,29.463,49.801,38.797,107.984,110.359,105.608,1.325,AAPL
2016-08-31,105.66,106.57,105.64,106.1,104.261,29662400,107.999,102.162,102.6,1.098,1.801,-0.703,29.47,29.952,50.362,38.222,107.999,110.317,105.681,1.297,AAPL
2016-09-01,106.14,106.8,105.62,106.73,104.88,26701500,108.042,102.386,102.563,0.975,1.636,-0.66,30.453,51.506,53.859,37.616,108.042,110.222,105.862,1.289,AAPL
2016-09-02,107.7,108.0,106.82,107.73,105.863,26802500,108.055,102.618,102.533,0.948,1.498,-0.55,37.417,63.889,58.818,36.1,108.055,110.224,105.885,1.287,AAPL
2016-09-06,107.9,108.3,107.51,107.7,105.833,26880400,108.021,102.904,102.485,0.914,1.381,-0.468,45.085,68.463,58.615,34.324,108.021,110.19,105.852,1.252,AAPL
2016-09-07,107.83,108.76,107.07,108.36,106.482,42364300,107.999,103.231,102.433,0.929,1.291,-0.362,53.179,72.103,61.751,32.815,107.999,110.143,105.854,1.283,AAPL
2016-09-08,107.25,107.27,105.24,105.52,103.691,53002000,107.875,103.469,102.364,0.703,1.173,-0.47,51.752,50.72,45.703,31.415,107.875,110.288,105.461,1.414,AAPL
2016-09-09,104.64,105.72,103.13,103.13,101.342,46557000,107.635,103.644,102.291,0.328,1.004,-0.676,45.367,33.813,36.991,31.043,107.635,110.847,104.422,1.498,AAPL
2016-09-12,102.65,105.72,102.53,105.44,103.612,45292800,107.498,103.841,102.224,0.215,0.846,-0.632,42.679,43.006,47.423,31.509,107.498,110.843,104.152,1.619,AAPL
2016-09-13,107.51,108.79,107.24,107.95,106.079,62176200,107.421,104.082,102.174,0.324,0.742,-0.418,46.362,57.531,55.956,30.794,107.421,110.644,104.198,1.743,AAPL
2016-09-14,108.73,113.03,108.6,111.77,109.833,110888700,107.54,104.418,102.143,0.71,0.736,-0.025,52.625,67.688,65.21,30.62,107.54,111.215,103.866,1.981,AAPL
2016-09-15,113.86,115.73,113.49,115.57,113.567,89983600,107.858,104.818,102.13,1.308,0.85,0.458,60.538,77.83,71.602,31.254,107.858,112.962,102.754,2.123,AAPL
2016-09-16,115.12,116.13,114.04,114.92,112.928,79886900,108.15,105.198,102.118,1.709,1.022,0.688,67.451,79.864,69.258,32.431,108.15,114.14,102.16,2.12,AAPL
2016-09-19,115.19,116.18,113.25,113.58,111.611,47023000,108.361,105.536,102.104,1.898,1.197,0.701,70.909,56.997,64.565,33.504,108.361,114.81,101.912,2.178,AAPL
2016-09-20,113.05,114.12,112.51,113.57,111.601,34514300,108.614,105.868,102.096,2.023,1.362,0.661,71.852,47.625,64.53,34.1,108.614,115.472,101.756,2.137,AAPL
2016-09-21,113.85,113.99,112.44,113.55,111.582,36003200,108.849,106.19,102.069,2.096,1.509,0.587,67.585,41.643,64.455,34.341,108.849,116.054,101.644,2.096,AAPL
2016-09-22,114.35,114.94,114.0,114.62,112.633,31074000,109.179,106.545,102.05,2.215,1.65,0.565,64.656,56.829,66.701,34.625,109.179,116.816,101.541,2.045,AAPL
2016-09-23,114.42,114.79,111.55,112.71,110.756,52481200,109.435,106.824,102.023,2.131,1.746,0.384,58.954,49.292,59.476,33.704,109.435,117.19,101.681,2.13,AAPL
2016-09-26,111.64,113.39,111.55,112.88,110.923,29869400,109.732,107.106,102.009,2.054,1.808,0.246,54.228,45.939,59.892,32.063,109.732,117.539,101.926,2.11,AAPL
2016-09-27,113.0,113.18,112.34,113.09,111.13,24607400,110.046,107.371,101.994,1.987,1.844,0.143,51.15,46.47,60.433,30.029,110.046,117.864,102.228,2.019,AAPL
2016-09-28,113.69,114.64,113.43,113.95,111.975,29641100,110.443,107.653,101.997,1.98,1.871,0.109,51.965,56.87,62.654,28.459,110.443,118.203,102.684,1.986,AAPL
2016-09-29,113.16,113.8,111.8,112.18,110.236,35887000,110.747,107.897,101.996,1.812,1.859,-0.047,48.714,42.373,55.721,26.524,110.747,118.263,103.232,1.997,AAPL
2016-09-30,112.46,113.37,111.8,113.05,111.09,36379100,111.063,108.169,102.009,1.728,1.833,-0.105,47.25,42.92,58.171,24.431,111.063,118.398,103.729,1.967,AAPL
