date,open,high,low,close,adj close,volume,9 sma,20 sma,50 sma,macd_12_26,macdsign_12_26,macddiff_12_26,stocastic_kdjd_5,stocastic_kdjk_3,rsi_rsi_14,adx_adx_15_ema,bbands_boll,bbands_boll_ub,bbands_boll_lb,atr_atr,stock_name,SKDT,SKDB,SOBZE,SOBZX,SOSZE,SOSZX
2017-02-16,135.67,135.9,134.84,135.35,134.266,22584600,133.063,127.63600000000001,120.958,4.343999999999999,3.7889999999999997,0.555,87.525,78.347,88.744,74.68,127.63600000000001,139.284,115.98899999999999,1.577,AAPL,False,False,False,True,False,False
2017-02-17,135.1,135.83,135.1,135.72,134.63299999999998,22198200,133.667,128.422,121.473,4.353,3.9019999999999997,0.452,86.69200000000001,74.453,89.116,76.678,128.422,140.02100000000002,116.823,1.517,AAPL,False,False,False,False,False,False
2017-02-21,136.23,136.75,135.98,136.7,135.606,24507200,134.241,129.253,121.986,4.388999999999999,3.9989999999999997,0.39,87.64200000000001,82.096,90.054,78.54,129.253,140.717,117.79,1.482,AAPL,False,False,True,False,False,False
2017-02-22,136.43,137.12,136.11,137.11,136.012,20836900,134.804,130.11,122.486,4.4,4.08,0.321,89.39299999999999,87.899,90.426,80.267,130.11,141.208,119.01299999999999,1.4480000000000002,AAPL,False,False,False,False,False,False
2017-02-23,137.38,137.48,136.3,136.53,135.437,20788200,135.261,130.843,122.93799999999999,4.313,4.126,0.18600000000000003,87.352,70.822,85.553,81.861,130.843,141.582,120.104,1.429,AAPL,False,False,False,True,False,False
2017-02-24,135.91,136.66,135.28,136.66,135.566,21776600,135.766,131.579,123.405,4.205,4.1419999999999995,0.063,84.021,68.124,85.738,82.007,131.579,141.751,121.40700000000001,1.425,AAPL,False,False,False,False,False,False
2017-02-27,137.14,137.44,136.28,136.93,135.834,20257400,136.17,132.328,123.84,4.093999999999999,4.132,-0.038,81.539,70.416,86.137,81.455,132.328,141.688,122.96799999999999,1.4069999999999998,AAPL,False,False,False,False,False,False
2017-02-28,137.08,137.44,136.7,136.99,135.893,23482900,136.389,133.096,124.27600000000001,3.966,4.099,-0.133,80.012,73.333,86.229,80.487,133.096,141.196,124.99600000000001,1.359,AAPL,False,False,False,False,False,False
2017-03-01,137.89,140.15,137.6,139.79,138.671,36414600,136.864,134.018,124.755,4.043,4.088,-0.045,80.733,79.12100000000001,89.67299999999999,79.804,134.018,140.531,127.505,1.4880000000000002,AAPL,False,False,False,False,False,False
2017-03-02,140.0,140.28,138.76,138.96,137.847,26211000,137.266,134.528,125.215,3.991,4.069,-0.077,80.26100000000001,73.79,83.042,79.34100000000001,134.528,140.90200000000002,128.155,1.49,AAPL,False,False,False,False,False,False
2017-03-03,138.78,139.83,138.59,139.78,138.661,21108100,137.717,135.091,125.678,3.971,4.0489999999999995,-0.078,80.855,76.308,84.279,78.83,135.091,141.217,128.965,1.472,AAPL,False,False,False,False,False,False
2017-03-06,139.37,139.77,138.6,139.34,138.224,21750000,138.01,135.60399999999998,126.126,3.8739999999999997,4.013999999999999,-0.14,80.329,65.665,80.87100000000001,78.308,135.60399999999998,141.315,129.893,1.4509999999999998,AAPL,False,False,False,False,False,False
2017-03-07,139.06,139.98,138.79,139.52,138.403,17446300,138.278,136.065,126.575,3.7689999999999997,3.965,-0.196,79.13,66.079,81.206,77.845,136.065,141.45,130.681,1.433,AAPL,False,False,False,False,False,False
2017-03-08,138.95,139.8,138.82,139.0,137.887,18707200,138.55200000000002,136.439,127.029,3.602,3.892,-0.29,72.501,53.714,77.01100000000001,77.435,136.439,141.52700000000002,131.351,1.4,AAPL,False,False,False,False,False,False
2017-03-09,138.74,138.79,137.05,138.68,137.57,22155900,138.77700000000002,136.77100000000002,127.47200000000001,3.405,3.795,-0.39,67.68,54.353,74.46300000000001,74.858,136.77100000000002,141.505,132.037,1.439,AAPL,False,False,False,False,False,False
2017-03-10,139.25,139.36,138.64,139.14,138.026,19612800,139.02200000000002,137.107,127.91,3.248,3.6860000000000004,-0.43799999999999994,65.943,61.568999999999996,75.707,71.382,137.107,141.481,132.733,1.3880000000000001,AAPL,False,False,False,False,False,False
2017-03-13,138.85,139.43,138.82,139.2,138.086,17421700,139.268,137.461,128.359,3.093,3.5669999999999997,-0.474,65.997,71.158,75.872,67.515,137.461,141.241,133.681,1.3319999999999999,AAPL,False,True,False,False,False,False
2017-03-14,139.3,139.65,138.84,138.99,137.877,15309100,139.179,137.746,128.804,2.9189999999999996,3.437,-0.518,66.527,58.99,73.976,63.692,137.746,141.029,134.463,1.295,AAPL,True,False,False,False,False,False
2017-03-15,139.41,140.75,139.03,140.46,139.335,25691800,139.346,138.018,129.297,2.867,3.323,-0.456,69.61,67.652,78.102,60.657,138.018,141.251,134.785,1.328,AAPL,False,False,False,False,False,False
2017-03-16,140.72,141.02,140.26,140.69,139.564,19232000,139.447,138.27700000000002,129.787,2.812,3.221,-0.409,72.817,73.388,78.671,58.349,138.27700000000002,141.494,135.06,1.288,AAPL,False,True,False,False,False,False
2017-03-17,141.0,141.0,139.89,139.99,138.869,43885000,139.519,138.509,130.267,2.681,3.113,-0.43200000000000005,72.06,65.006,72.49,56.085,138.509,141.498,135.52,1.275,AAPL,True,False,False,False,False,False
2017-03-20,140.4,141.5,140.23,141.46,140.327,21542000,139.734,138.796,130.764,2.665,3.0239999999999996,-0.358,74.66199999999999,75.843,76.641,54.218999999999994,138.796,141.76,135.832,1.2919999999999998,AAPL,False,True,False,False,False,False
2017-03-21,142.11,142.8,139.73,139.84,138.72,39529900,139.828,138.953,131.202,2.4930000000000003,2.918,-0.424,69.90899999999999,51.756,65.002,53.224,138.953,141.779,136.127,1.419,AAPL,True,False,False,False,False,False
2017-03-22,139.85,141.6,139.76,141.42,140.28799999999998,25860200,140.132,139.16899999999998,131.651,2.456,2.825,-0.369,66.146,52.854,69.816,52.808,139.16899999999998,142.059,136.278,1.449,AAPL,False,False,False,False,False,False
2017-03-23,141.26,141.58,140.61,140.92,139.792,20346300,140.33,139.388,132.08700000000002,2.359,2.7319999999999998,-0.373,61.431000000000004,48.157,66.69,52.769,139.388,142.096,136.68,1.415,AAPL,False,False,False,False,False,False
2017-03-24,141.5,141.74,140.35,140.64,139.514,22395600,140.49,139.58700000000002,132.505,2.234,2.6319999999999997,-0.39899999999999997,55.803000000000004,46.919,64.936,52.525,139.58700000000002,142.02200000000002,137.15200000000002,1.413,AAPL,False,False,False,False,False,False
